Year,quarter,city1,city2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2
1993,4,"Huntsville, AL","Washington, DC (Metropolitan Area)",HSV,IAD,640,21,242.76,DL,0.48,275.5,UA,0.25,197.69,"34.729538, -86.585283","38.892062, -77.019912"
1993,1,"Houston, TX","San Francisco, CA (Metropolitan Area)",IAH,OAK,1657,51,272.66,HP,0.64,230.26,HP,0.64,230.26,"29.760803, -95.369506","37.78008, -122.420168"
1993,4,"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)",MIA,TPA,204,296,84.74,US,0.72,83.72,US,0.72,83.72,"44.977479, -93.264346","37.8606, -78.804199"
1993,1,"Birmingham, AL","Los Angeles, CA (Metropolitan Area)",BHM,LGB,1815,2,290.64,AA,1.0,290.64,AA,1.0,290.64,"33.522859, -86.807705","34.052238, -118.243344"
1993,1,"New York City, NY (Metropolitan Area)","Richmond, VA",SWF,RIC,325,4,173.52,US,0.81,178.83,US,0.81,178.83,"40.123164, -75.333718","37.540759, -77.433932"
1994,1,"Chicago, IL","Omaha, NE",CHI,OMA,423,0,179.2,AA,0.5,134.95,AA,0.5,134.95,"41.775002, -87.696388","46.07035, -93.666319"
1996,3,"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",SNA,SLC,590,414,93.19,DL,0.95,89.86,DL,0.95,89.86,"34.052238, -118.243344","40.758478, -111.888142"
1993,1,"San Diego, CA","Washington, DC (Metropolitan Area)",SAN,DCA,2295,266,290.94,AA,0.26,343.23,NW,0.24,209.78,"32.71576, -117.163817","38.892062, -77.019912"
1993,2,"Miami, FL (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",FLL,ORF,812,66,193.45,US,0.45,202.81,DL,0.36,192.99,"44.977479, -93.264346","36.846164, -76.285913"
1994,1,"Boston, MA (Metropolitan Area)","Nashville, TN",PVD,BNA,943,27,254.88,US,0.49,250.63,AA,0.18,231.81,"42.358894, -71.056742","36.166687, -86.779932"
1993,4,"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",CAK,PBI,1020,20,197.28,US,0.65,194.71,CO,0.12,180.68,"41.505546, -81.6915","33.90976, -98.500854"
1993,1,"Miami, FL (Metropolitan Area)","Milwaukee, WI",MIA,MKE,1259,192,173.29,NW,0.54,155.89,NW,0.54,155.89,"44.977479, -93.264346","43.041072, -87.909421"
1993,1,"Miami, FL (Metropolitan Area)","Nashville, TN",MIA,BNA,806,152,197.82,AA,0.75,204.68,DL,0.17,169.97,"44.977479, -93.264346","36.166687, -86.779932"
1993,3,"Denver, CO","Tampa, FL (Metropolitan Area)",DEN,TPA,1506,217,219.49,CO,0.54,206.18,CO,0.54,206.18,"39.738453, -104.984853","37.8606, -78.804199"
1993,2,"Little Rock, AR","Washington, DC (Metropolitan Area)",LIT,WAS,913,5,258.62,DL,0.91,258.57,DL,0.91,258.57,"34.748745, -92.275105","38.892062, -77.019912"
1993,3,"Tampa, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",TPA,IAD,842,125,170.24,UA,0.7,150.71,TW,0.04,117.7,"37.8606, -78.804199","38.892062, -77.019912"
1993,3,"Cleveland, OH (Metropolitan Area)","Phoenix, AZ",CLE,PHX,1754,233,193.63,WN,0.32,140.44,WN,0.32,140.44,"41.505546, -81.6915","30.406931, -87.217578"
1994,1,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",LAX,EWR,2510,1381,349.32,UA,0.32,354.79,CO,0.3,325.32,"34.052238, -118.243344","40.123164, -75.333718"
1996,1,"Colorado Springs, CO","New York City, NY (Metropolitan Area)",COS,JFK,1678,5,255.3,TW,0.34,273.68,HP,0.22,234.14,"38.835224, -104.819798","40.123164, -75.333718"
1996,1,"San Francisco, CA (Metropolitan Area)","Tulsa, OK",SJC,TUL,1465,30,187.98,AA,0.45,195.03,WN,0.15,167.75,"37.78008, -122.420168","61.096484, -160.967455"
1993,4,"Chicago, IL","Tulsa, OK",CHI,TUL,587,1,110.73,TW,0.75,116.5,CO,0.25,93.45,"41.775002, -87.696388","61.096484, -160.967455"
1993,1,"San Francisco, CA (Metropolitan Area)","Seattle, WA",SFO,SEA,696,866,228.59,UA,0.54,254.66,BF,0.12,145.4,"37.78008, -122.420168","47.603229, -122.33028"
1993,1,"Chicago, IL","Tucson, AZ",ORD,TUS,1442,269,235.74,AA,0.6,240.46,UA,0.27,217.47,"41.775002, -87.696388","35.167852, -103.726151"
1996,2,"Albany, NY","Miami, FL (Metropolitan Area)",ALB,MIA,1225,50,162.52,US,0.44,159.26,AA,0.11,149.65,"42.651242, -73.755418","44.977479, -93.264346"
1994,1,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",ATL,BUR,1946,21,324.51,AA,0.43,299.81,UA,0.11,247.33,"33.748547, -84.391502","34.052238, -118.243344"
1996,4,"Milwaukee, WI","New York City, NY (Metropolitan Area)",MKE,NYC,777,44,212.8,YX,0.97,211.22,YX,0.97,211.22,"43.041072, -87.909421","40.123164, -75.333718"
1996,1,"Atlantic City, NJ","Orlando, FL",ACY,MCO,852,111,95.23,NK,0.93,91.49,NK,0.93,91.49,"33.748547, -84.391502","28.538331, -81.378879"
1993,4,"Portland, OR","Washington, DC (Metropolitan Area)",PDX,DCA,2358,164,282.23,UA,0.46,277.83,NW,0.19,251.77,"45.516018, -122.681425","38.892062, -77.019912"
1993,2,"Boston, MA (Metropolitan Area)","San Diego, CA",BOS,SAN,2588,425,252.27,AA,0.34,241.03,CO,0.1,200.7,"42.358894, -71.056742","32.71576, -117.163817"
1996,1,"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK",SNA,OKC,1187,39,203.27,UA,0.43,199.85,UA,0.43,199.85,"34.052238, -118.243344","35.468494, -97.521264"
1993,3,"Boston, MA (Metropolitan Area)","Portland, OR",MHT,PDX,2537,12,309.42,UA,0.8,321.74,CO,0.08,186.82,"42.358894, -71.056742","45.516018, -122.681425"
1996,1,"Dallas/Fort Worth, TX","Midland/Odessa, TX",DFW,MAF,319,75,86.97,AA,0.96,87.06,AA,0.96,87.06,"40.11086, -77.035636","31.997433, -102.078043"
1994,1,"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",BOS,CAK,563,18,220.17,US,0.7,216.37,HP,0.12,203.48,"42.358894, -71.056742","41.505546, -81.6915"
1993,4,"Minneapolis/St. Paul, MN","New York City, NY (Metropolitan Area)",MSP,ISP,1057,11,272.19,AA,0.32,265.35,NW,0.18,207.05,"44.977479, -93.264346","40.123164, -75.333718"
1993,2,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",GRR,LGA,656,85,181.35,NW,0.39,186.53,UA,0.1,163.72,"47.925705, -97.036068","40.123164, -75.333718"
1993,4,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",SWF,BWI,265,2,164.68,US,0.46,166.27,AA,0.2,95.86,"40.123164, -75.333718","38.892062, -77.019912"
1994,1,"Dallas/Fort Worth, TX","Houston, TX",DAL,IAH,252,346,72.0,WN,1.0,72.0,WN,1.0,72.0,"40.11086, -77.035636","29.760803, -95.369506"
1993,4,"Chicago, IL","Norfolk, VA (Metropolitan Area)",ORD,ORF,717,201,223.4,UA,0.72,218.7,CO,0.02,175.07,"41.775002, -87.696388","36.846164, -76.285913"
1996,3,"Las Vegas, NV","New York City, NY (Metropolitan Area)",LAS,ISP,2283,25,174.32,US,0.49,157.29,US,0.49,157.29,"36.169202, -115.140597","40.123164, -75.333718"
1996,2,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",JFK,WAS,265,4,100.68,TW,1.0,100.68,TW,1.0,100.68,"40.123164, -75.333718","38.892062, -77.019912"
1993,1,"Columbia, SC","New York City, NY (Metropolitan Area)",CAE,LGA,648,64,220.17,US,0.59,198.61,US,0.59,198.61,"39.962649, -82.996216","40.123164, -75.333718"
1993,4,"Detroit, MI","Phoenix, AZ",DTW,PHX,1681,599,211.39,NW,0.53,243.09,WN,0.25,138.71,"42.332916, -83.047853","30.406931, -87.217578"
1993,4,"Boston, MA (Metropolitan Area)","Milwaukee, WI",BOS,MKE,860,332,162.33,YX,0.62,167.34,NW,0.14,129.48,"42.358894, -71.056742","43.041072, -87.909421"
1994,1,"Houston, TX","Seattle, WA",IAH,SEA,1900,197,297.44,CO,0.54,296.08,HP,0.12,238.44,"29.760803, -95.369506","47.603229, -122.33028"
1993,2,"Las Vegas, NV","New York City, NY (Metropolitan Area)",LAS,ISP,2283,27,196.49,AA,0.76,197.64,CO,0.13,182.25,"36.169202, -115.140597","40.123164, -75.333718"
1993,1,"Houston, TX","Seattle, WA",EFD,SEA,1900,1,397.32,CO,1.0,397.32,CO,1.0,397.32,"29.760803, -95.369506","47.603229, -122.33028"
1994,1,"Norfolk, VA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",ORF,OAK,2519,10,378.71,AA,0.41,373.82,UA,0.37,351.52,"36.846164, -76.285913","37.78008, -122.420168"
1996,4,"Milwaukee, WI","Washington, DC (Metropolitan Area)",MKE,DCA,641,196,179.32,YX,0.6,185.21,NW,0.16,169.88,"43.041072, -87.909421","38.892062, -77.019912"
1996,4,"Little Rock, AR","Washington, DC (Metropolitan Area)",LIT,IAD,912,20,276.17,DL,0.46,281.28,TW,0.27,240.5,"34.748745, -92.275105","38.892062, -77.019912"
1996,3,"Columbus, OH","San Francisco, CA (Metropolitan Area)",CMH,OAK,2121,48,194.14,UA,0.49,204.02,AA,0.14,172.03,"39.962649, -82.996216","37.78008, -122.420168"
1993,1,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",LAX,LGA,2510,450,366.18,AA,0.19,394.78,NW,0.13,260.92,"34.052238, -118.243344","40.123164, -75.333718"
1996,4,"Memphis, TN","Washington, DC (Metropolitan Area)",MEM,BWI,787,50,283.92,US,0.32,335.48,NW,0.22,226.98,"35.143378, -90.052136","38.892062, -77.019912"
1996,3,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",JFK,SJC,2619,29,404.49,AA,0.17,446.25,HP,0.16,239.02,"40.123164, -75.333718","37.78008, -122.420168"
1996,4,"Dallas/Fort Worth, TX","Raleigh/Durham, NC",DFW,RDU,1062,457,276.1,AA,0.83,281.37,CO,0.01,132.31,"40.11086, -77.035636","42.673348, -72.179683"
1993,3,"Albuquerque, NM","Chicago, IL",ABQ,ORD,1123,226,213.2,AA,0.65,221.04,CO,0.16,154.43,"35.084248, -106.649241","41.775002, -87.696388"
1993,1,"Chicago, IL","New York City, NY (Metropolitan Area)",ORD,NYC,773,7,214.39,DL,0.74,168.73,DL,0.74,168.73,"41.775002, -87.696388","40.123164, -75.333718"
1993,2,"Chicago, IL","Reno, NV",ORD,RNO,1680,137,192.25,AA,0.52,184.23,AA,0.52,184.23,"41.775002, -87.696388","30.177159, -95.162771"
1993,3,"Fort Myers, FL","Washington, DC (Metropolitan Area)",RSW,DCA,919,108,136.29,US,0.6,126.73,US,0.6,126.73,"40.253979, -103.801495","38.892062, -77.019912"
1994,1,"Sacramento, CA","Washington, DC (Metropolitan Area)",SMF,WAS,2395,3,361.53,DL,0.89,319.94,DL,0.89,319.94,"38.582087, -121.50012","38.892062, -77.019912"
1994,1,"Houston, TX","Mission/McAllen/Edinburg, TX",EFD,MFE,316,1,72.26,CO,1.0,72.26,CO,1.0,72.26,"29.760803, -95.369506","43.153621, -93.201042"
1993,4,"Buffalo, NY","New York City, NY (Metropolitan Area)",BUF,LGA,326,541,102.96,US,0.97,102.21,US,0.97,102.21,"39.945422, -78.64671","40.123164, -75.333718"
1996,2,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",ABQ,SJC,896,214,111.44,WN,0.44,105.69,WN,0.44,105.69,"35.084248, -106.649241","37.78008, -122.420168"
1993,1,"San Francisco, CA (Metropolitan Area)","Spokane, WA",SJC,GEG,743,18,212.02,AS,0.69,203.85,AS,0.69,203.85,"37.78008, -122.420168","47.658999, -117.425022"
1993,3,"New York City, NY (Metropolitan Area)","Salt Lake City, UT",LGA,SLC,2021,94,270.33,DL,0.4,278.45,UA,0.17,263.7,"40.123164, -75.333718","40.758478, -111.888142"
1993,3,"New York City, NY (Metropolitan Area)","San Antonio, TX",NYC,SAT,1624,8,308.88,DL,0.73,285.26,DL,0.73,285.26,"40.123164, -75.333718","29.425173, -98.494599"
1993,3,"New York City, NY (Metropolitan Area)","Salt Lake City, UT",HPN,SLC,2021,7,261.64,UA,0.44,249.8,DL,0.11,186.88,"40.123164, -75.333718","40.758478, -111.888142"
1994,1,"Houston, TX","Minneapolis/St. Paul, MN",HOU,MSP,1059,97,301.59,NW,0.9,298.71,DL,0.01,272.59,"29.760803, -95.369506","44.977479, -93.264346"
1996,1,"Orlando, FL","Washington, DC (Metropolitan Area)",MCO,IAD,787,709,120.49,J7,0.39,105.66,J7,0.39,105.66,"28.538331, -81.378879","38.892062, -77.019912"
1994,1,"Austin, TX","Washington, DC (Metropolitan Area)",AUS,IAD,1340,49,330.6,AA,0.66,344.91,DL,0.1,283.85,"30.264979, -97.746598","38.892062, -77.019912"
1993,4,"Boston, MA (Metropolitan Area)","Rochester, NY",MHT,ROC,343,8,168.04,US,0.62,150.27,US,0.62,150.27,"42.358894, -71.056742","43.155708, -77.612547"
1996,1,"Memphis, TN","New York City, NY (Metropolitan Area)",MEM,LGA,1002,205,263.18,NW,0.79,253.71,TW,0.01,210.32,"35.143378, -90.052136","40.123164, -75.333718"
1996,1,"Greenville/Spartanburg, SC","New York City, NY (Metropolitan Area)",GSP,ISP,643,7,173.67,US,0.9,169.01,US,0.9,169.01,"44.513288, -88.013256","40.123164, -75.333718"
1996,4,"Kansas City, MO","New York City, NY (Metropolitan Area)",MCI,SWF,1148,13,234.41,AA,0.44,194.44,AA,0.44,194.44,"39.099792, -94.578559","40.123164, -75.333718"
1994,1,"Los Angeles, CA (Metropolitan Area)","Portland, OR",BUR,PDX,859,193,132.83,AS,0.73,129.73,AS,0.73,129.73,"34.052238, -118.243344","45.516018, -122.681425"
1993,2,"Chicago, IL","San Antonio, TX",MDW,SAT,1041,69,151.52,WN,0.87,147.48,WN,0.87,147.48,"41.775002, -87.696388","29.425173, -98.494599"
1996,2,"San Antonio, TX","San Francisco, CA (Metropolitan Area)",SAT,OAK,1482,90,145.11,WN,0.48,130.02,WN,0.48,130.02,"29.425173, -98.494599","37.78008, -122.420168"
1996,4,"Cincinnati, OH","New York City, NY (Metropolitan Area)",CVG,ISP,626,6,267.32,US,0.7,239.73,US,0.7,239.73,"39.104427, -84.513808","40.123164, -75.333718"
1993,1,"Chicago, IL","Jacksonville, FL",MDW,JAX,865,3,284.93,TW,0.32,210.48,TW,0.32,210.48,"41.775002, -87.696388","30.325968, -81.65676"
1996,3,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,ONT,677,225,86.3,WN,0.75,80.89,WN,0.75,80.89,"35.084248, -106.649241","34.052238, -118.243344"
1996,2,"Houston, TX","Phoenix, AZ",IAH,PHX,1028,297,179.68,CO,0.58,180.18,HP,0.32,171.49,"29.760803, -95.369506","30.406931, -87.217578"
1993,1,"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",PHX,OAK,651,962,75.46,WN,0.67,64.91,WN,0.67,64.91,"30.406931, -87.217578","37.78008, -122.420168"
1996,4,"Denver, CO","Tampa, FL (Metropolitan Area)",DEN,TPA,1506,283,240.93,UA,0.48,268.64,DL,0.11,256.19,"39.738453, -104.984853","37.8606, -78.804199"
1994,1,"New York City, NY (Metropolitan Area)","Oklahoma City, OK",LGA,OKC,1381,62,281.96,AA,0.51,287.77,TW,0.22,234.05,"40.123164, -75.333718","35.468494, -97.521264"
1993,3,"Knoxville, TN","Washington, DC (Metropolitan Area)",TYS,BWI,464,30,190.62,US,0.53,187.7,US,0.53,187.7,"35.962631, -83.916677","38.892062, -77.019912"
1994,1,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",BUR,LGA,2510,12,394.04,AA,0.55,311.16,AA,0.55,311.16,"34.052238, -118.243344","40.123164, -75.333718"
1996,1,"Norfolk, VA (Metropolitan Area)","Philadelphia, PA",ORF,PHL,211,144,180.93,US,0.96,180.04,US,0.96,180.04,"36.846164, -76.285913","39.951061, -75.16562"
1994,1,"Dayton, OH","Los Angeles, CA (Metropolitan Area)",DAY,LAX,1925,152,239.1,US,0.37,230.7,TW,0.14,227.98,"39.760982, -84.192203","34.052238, -118.243344"
1996,2,"Chicago, IL","Los Angeles, CA (Metropolitan Area)",ORD,LAX,1751,2354,267.69,UA,0.51,277.64,AA,0.34,257.2,"41.775002, -87.696388","34.052238, -118.243344"
1996,4,"Los Angeles, CA (Metropolitan Area)","San Antonio, TX",BUR,SAT,1211,47,119.74,WN,0.47,103.96,WN,0.47,103.96,"34.052238, -118.243344","29.425173, -98.494599"
1996,1,"Louisville, KY","Orlando, FL",SDF,MCO,718,236,115.67,J7,0.4,99.73,J7,0.4,99.73,"38.256078, -85.751569","28.538331, -81.378879"
1994,1,"Boston, MA (Metropolitan Area)","Melbourne, FL",PVD,MLB,1145,33,146.57,DL,0.47,143.84,CO,0.12,143.44,"42.358894, -71.056742","28.079931, -80.603516"
1993,1,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",ISP,SJC,2619,6,498.05,AA,0.79,468.44,CO,0.05,141.0,"40.123164, -75.333718","37.78008, -122.420168"
1993,2,"Huntsville, AL","New York City, NY (Metropolitan Area)",HSV,HPN,860,0,301.1,NW,0.33,118.9,NW,0.33,118.9,"34.729538, -86.585283","40.123164, -75.333718"
1993,4,"Albuquerque, NM","Chicago, IL",ABQ,MDW,1123,103,133.21,WN,0.79,126.31,WN,0.79,126.31,"35.084248, -106.649241","41.775002, -87.696388"
1996,2,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",DFW,LGB,1246,10,273.31,HP,0.9,272.93,HP,0.9,272.93,"40.11086, -77.035636","34.052238, -118.243344"
1993,1,"Kansas City, MO","New York City, NY (Metropolitan Area)",MCI,ISP,1148,7,304.06,US,0.47,256.34,US,0.47,256.34,"39.099792, -94.578559","40.123164, -75.333718"
1996,4,"Boise, ID","Los Angeles, CA (Metropolitan Area)",BOI,SNA,688,47,148.52,DL,0.6,139.26,DL,0.6,139.26,"43.597772, -83.884521","34.052238, -118.243344"
1993,4,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",ATL,SNA,1946,189,300.33,DL,0.46,301.98,DL,0.46,301.98,"33.748547, -84.391502","34.052238, -118.243344"
1993,4,"Los Angeles, CA (Metropolitan Area)","Milwaukee, WI",ONT,MKE,1756,56,235.47,HP,0.28,215.89,HP,0.28,215.89,"34.052238, -118.243344","43.041072, -87.909421"
1994,1,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",SNA,HPN,2510,14,378.27,UA,0.42,459.35,NW,0.11,239.71,"34.052238, -118.243344","40.123164, -75.333718"
1993,3,"Houston, TX","Portland, OR",IAH,PDX,1850,114,272.8,CO,0.59,248.63,CO,0.59,248.63,"29.760803, -95.369506","45.516018, -122.681425"
1996,1,"Boston, MA (Metropolitan Area)","Richmond, VA",PVD,RIC,487,20,251.78,US,0.81,258.74,CO,0.08,191.08,"42.358894, -71.056742","37.540759, -77.433932"
1993,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",ATL,PVD,952,117,235.43,DL,0.63,247.47,US,0.2,197.78,"33.748547, -84.391502","42.358894, -71.056742"
1993,1,"Columbus, OH","Miami, FL (Metropolitan Area)",CMH,FLL,990,133,176.67,DL,0.5,186.82,US,0.25,172.86,"39.962649, -82.996216","44.977479, -93.264346"
1993,4,"Melbourne, FL","New York City, NY (Metropolitan Area)",MLB,NYC,995,8,176.19,DL,0.95,178.3,AA,0.01,121.2,"28.079931, -80.603516","40.123164, -75.333718"
1996,1,"Sacramento, CA","Washington, DC (Metropolitan Area)",SMF,DCA,2395,99,291.53,UA,0.51,273.7,UA,0.51,273.7,"38.582087, -121.50012","38.892062, -77.019912"
1996,1,"Chicago, IL","Los Angeles, CA (Metropolitan Area)",MDW,BUR,1751,14,172.79,WN,0.67,175.64,HP,0.3,162.89,"41.775002, -87.696388","34.052238, -118.243344"
1996,3,"Dallas/Fort Worth, TX","Milwaukee, WI",DFW,MKE,853,294,197.69,YX,0.47,223.5,AA,0.2,186.57,"40.11086, -77.035636","43.041072, -87.909421"
1993,1,"Cincinnati, OH","Tampa, FL (Metropolitan Area)",CVG,TPA,773,190,218.74,DL,0.9,216.2,AA,0.01,195.01,"39.104427, -84.513808","37.8606, -78.804199"
1996,2,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",LAS,LAX,236,2461,72.48,WN,0.5,63.53,WN,0.5,63.53,"36.169202, -115.140597","34.052238, -118.243344"
1993,1,"Minneapolis/St. Paul, MN","New York City, NY (Metropolitan Area)",MSP,ISP,1057,7,289.91,AA,0.53,248.34,AA,0.53,248.34,"44.977479, -93.264346","40.123164, -75.333718"
1996,4,"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",MSP,IAD,936,191,222.69,NW,0.86,221.79,UA,0.1,209.25,"44.977479, -93.264346","38.892062, -77.019912"
1996,2,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",SNA,SEA,978,772,134.02,AS,0.75,136.05,WN,0.02,92.94,"34.052238, -118.243344","47.603229, -122.33028"
1994,1,"Boston, MA (Metropolitan Area)","Houston, TX",BOS,EFD,1609,5,390.79,CO,0.95,389.71,CO,0.95,389.71,"42.358894, -71.056742","29.760803, -95.369506"
1993,3,"Syracuse, NY","Washington, DC (Metropolitan Area)",SYR,WAS,298,1,96.88,CO,0.8,53.22,CO,0.8,53.22,"43.047945, -76.147448","38.892062, -77.019912"
1993,4,"Atlantic City, NJ","Boston, MA (Metropolitan Area)",AIY,BOS,293,5,91.95,CO,0.95,89.79,CO,0.95,89.79,"33.748547, -84.391502","42.358894, -71.056742"
1993,2,"Detroit, MI","Phoenix, AZ",DTW,PHX,1691,523,224.05,NW,0.73,230.91,WN,0.05,146.31,"42.332916, -83.047853","30.406931, -87.217578"
1996,2,"Miami, FL (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",FLL,SJC,2585,36,318.6,AA,0.48,309.98,TW,0.1,222.04,"44.977479, -93.264346","37.78008, -122.420168"
1996,1,"Boston, MA (Metropolitan Area)","Sarasota/Bradenton, FL",BOS,SRQ,1240,228,129.51,US,0.42,122.84,US,0.42,122.84,"42.358894, -71.056742","27.336483, -82.538602"
1993,3,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",BOS,IAD,418,384,150.13,UA,0.69,146.45,UA,0.69,146.45,"42.358894, -71.056742","38.892062, -77.019912"
1996,3,"Detroit, MI","Milwaukee, WI",DTW,MKE,238,277,217.43,NW,0.95,218.22,NW,0.95,218.22,"42.332916, -83.047853","43.041072, -87.909421"
1993,1,"Chicago, IL","Wichita, KS",ORD,ICT,591,92,236.12,UA,0.85,229.69,UA,0.85,229.69,"41.775002, -87.696388","39.960481, -75.605214"
1996,2,"Grand Rapids, MI","Washington, DC (Metropolitan Area)",GRR,IAD,528,22,209.4,NW,0.56,196.48,NW,0.56,196.48,"47.925705, -97.036068","38.892062, -77.019912"
1996,3,"Cleveland, OH (Metropolitan Area)","Houston, TX",CAK,IAH,1107,8,221.38,US,0.34,259.48,US,0.34,259.48,"41.505546, -81.6915","29.760803, -95.369506"
1996,2,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",BOS,EWR,209,1665,150.33,CO,0.98,149.98,CO,0.98,149.98,"42.358894, -71.056742","40.123164, -75.333718"
1993,1,"Jacksonville, FL","Los Angeles, CA (Metropolitan Area)",JAX,BUR,2153,1,313.45,AA,0.75,304.47,AA,0.75,304.47,"30.325968, -81.65676","34.052238, -118.243344"
1993,3,"Los Angeles, CA (Metropolitan Area)","Wichita, KS",LAX,ICT,1203,61,200.95,HP,0.23,190.24,CO,0.13,186.14,"34.052238, -118.243344","39.960481, -75.605214"
1993,4,"Los Angeles, CA (Metropolitan Area)","San Diego, CA",ONT,SAN,122,2,89.8,DL,0.71,76.47,DL,0.71,76.47,"34.052238, -118.243344","32.71576, -117.163817"
1993,4,"Chicago, IL","Cleveland, OH (Metropolitan Area)",ORD,CLE,344,1087,88.87,UA,0.47,91.79,CO,0.25,66.78,"41.775002, -87.696388","41.505546, -81.6915"
1996,3,"Atlantic City, NJ","Boston, MA (Metropolitan Area)",ACY,BOS,291,160,90.8,NK,0.89,79.98,NK,0.89,79.98,"33.748547, -84.391502","42.358894, -71.056742"
1993,4,"Birmingham, AL","Miami, FL (Metropolitan Area)",BHM,MIA,661,65,203.04,DL,0.75,198.52,DL,0.75,198.52,"33.522859, -86.807705","44.977479, -93.264346"
1993,2,"New York City, NY (Metropolitan Area)","Richmond, VA",ISP,RIC,325,8,178.71,US,0.94,177.6,AA,0.02,115.0,"40.123164, -75.333718","37.540759, -77.433932"
1996,4,"Boston, MA (Metropolitan Area)","Pittsburgh, PA",BOS,PIT,496,702,181.36,US,0.93,183.33,US,0.93,183.33,"42.358894, -71.056742","40.442169, -79.994945"
1996,3,"Jacksonville, FL","Norfolk, VA (Metropolitan Area)",JAX,ORF,547,176,105.83,US,0.41,122.26,WV,0.32,76.82,"30.325968, -81.65676","36.846164, -76.285913"
1996,1,"New York City, NY (Metropolitan Area)","Rochester, NY",SWF,ROC,285,1,233.45,US,0.85,240.0,US,0.85,240.0,"40.123164, -75.333718","43.155708, -77.612547"
1996,2,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",PVD,BUR,2611,1,351.09,UA,0.6,241.36,CO,0.1,192.4,"42.358894, -71.056742","34.052238, -118.243344"
1994,1,"Jacksonville, FL","Los Angeles, CA (Metropolitan Area)",JAX,LAX,2153,68,318.86,DL,0.43,372.69,CO,0.17,237.65,"30.325968, -81.65676","34.052238, -118.243344"
1996,2,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",BUR,MIA,2342,4,292.34,AA,0.56,238.91,AA,0.56,238.91,"34.052238, -118.243344","44.977479, -93.264346"
1993,3,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",LGB,DCA,2329,6,333.34,AA,0.91,337.86,HP,0.03,223.05,"34.052238, -118.243344","38.892062, -77.019912"
1996,4,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",LAX,WAS,2329,1,334.93,YX,0.4,277.0,AA,0.2,97.5,"34.052238, -118.243344","38.892062, -77.019912"
1994,1,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",MHT,IAD,418,3,231.37,DH,0.4,241.2,US,0.14,159.72,"42.358894, -71.056742","38.892062, -77.019912"
1996,1,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",FLL,NYC,1139,4,185.96,DL,0.9,165.07,DL,0.9,165.07,"44.977479, -93.264346","40.123164, -75.333718"
1993,4,"Houston, TX","Washington, DC (Metropolitan Area)",EFD,DCA,1246,8,301.58,CO,0.97,300.75,CO,0.97,300.75,"29.760803, -95.369506","38.892062, -77.019912"
1996,1,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",BOS,LGA,209,3288,112.55,DL,0.58,111.31,DL,0.58,111.31,"42.358894, -71.056742","40.123164, -75.333718"
1993,2,"Kansas City, MO","San Francisco, CA (Metropolitan Area)",MCI,SFO,1499,403,164.16,US,0.43,170.01,UA,0.14,164.06,"39.099792, -94.578559","37.78008, -122.420168"
