Year,quarter,city1,city2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2
1996,3,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",LAX,SWF,2510,59,225.57,AA,0.66,213.62,AA,0.66,213.62,"34.052238, -118.243344","40.123164, -75.333718"
1996,3,"Detroit, MI","Tampa, FL (Metropolitan Area)",DTW,TPA,987,768,106.75,NW,0.69,109.38,NK,0.15,83.03,"42.332916, -83.047853","37.8606, -78.804199"
1996,3,"Boston, MA (Metropolitan Area)","Houston, TX",BOS,HOU,1609,69,243.51,NW,0.35,215.13,TW,0.34,176.19,"42.358894, -71.056742","29.760803, -95.369506"
1994,1,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",BUR,TPA,2158,17,329.24,AA,0.68,310.91,UA,0.11,278.57,"34.052238, -118.243344","37.8606, -78.804199"
1993,3,"Detroit, MI","New York City, NY (Metropolitan Area)",DTW,LGA,540,834,181.31,NW,0.92,180.57,US,0.02,141.98,"42.332916, -83.047853","40.123164, -75.333718"
1993,1,"San Francisco, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",SJC,PBI,2567,25,382.51,AA,0.46,364.83,AA,0.46,364.83,"37.78008, -122.420168","33.90976, -98.500854"
1993,3,"New York City, NY (Metropolitan Area)","Seattle, WA",EWR,SEA,2448,461,255.2,CO,0.42,241.34,CO,0.42,241.34,"40.123164, -75.333718","47.603229, -122.33028"
1993,2,"Detroit, MI","San Francisco, CA (Metropolitan Area)",DET,SJC,2095,1,228.74,WN,1.0,228.74,WN,1.0,228.74,"42.332916, -83.047853","37.78008, -122.420168"
1996,4,"Phoenix, AZ","Washington, DC (Metropolitan Area)",PHX,BWI,1998,776,141.71,DL,0.21,126.5,WN,0.16,112.08,"30.406931, -87.217578","38.892062, -77.019912"
1996,2,"Madison, WI","New York City, NY (Metropolitan Area)",MSN,NYC,850,2,207.36,YX,0.68,221.33,TW,0.25,181.25,"43.073926, -89.385244","40.123164, -75.333718"
1996,2,"Kansas City, MO","New York City, NY (Metropolitan Area)",MCI,SWF,1148,13,225.78,US,0.41,230.03,AA,0.35,166.87,"39.099792, -94.578559","40.123164, -75.333718"
1993,2,"New Orleans, LA","New York City, NY (Metropolitan Area)",MSY,LGA,1218,438,200.06,US,0.38,191.0,US,0.38,191.0,"29.950621, -90.074948","40.123164, -75.333718"
1996,1,"Dallas/Fort Worth, TX","Kansas City, MO",DAL,MCI,461,0,89.26,WN,1.0,89.26,WN,1.0,89.26,"40.11086, -77.035636","39.099792, -94.578559"
1993,2,"Charlotte, NC","Dallas/Fort Worth, TX",CLT,DFW,936,281,272.73,AA,0.63,264.4,US,0.26,249.92,"35.222936, -80.840161","40.11086, -77.035636"
